,CO2_ppm,Methane_ppb
1987-01-01,353.2,
1987-02-01,354.0,
1987-03-01,354.8,
1987-04-01,356.5,
1987-05-01,354.7,
1987-06-01,349.6,
1987-07-01,345.9,
1987-08-01,345.6,
1987-09-01,344.8,
1987-10-01,350.0,
1987-11-01,352.8,
1987-12-01,354.6,
1988-01-01,356.0,
1988-02-01,356.9,
1988-03-01,357.6,
1988-04-01,358.5,
1988-05-01,358.0,
1988-06-01,351.7,
1988-07-01,347.2,
1988-08-01,348.6,
1988-09-01,348.5,
1988-10-01,354.1,
1988-11-01,356.5,
1988-12-01,357.1,
1989-01-01,358.3,
1989-02-01,359.5,
1989-03-01,359.5,
1989-04-01,360.5,
1989-05-01,360.2,
1989-06-01,354.3,
1989-07-01,350.4,
1989-08-01,348.1,
1989-09-01,351.3,
1989-10-01,354.9,
1989-11-01,357.7,
1989-12-01,358.5,
1990-01-01,360.0,
1990-02-01,360.6,
1990-03-01,361.9,
1990-04-01,361.7,
1990-05-01,360.0,
1990-06-01,354.2,
1990-07-01,350.6,
1990-08-01,350.5,
1990-09-01,351.8,
1990-10-01,355.0,
1990-11-01,358.1,
1990-12-01,358.9,
1991-01-01,361.0,
1991-02-01,362.0,
1991-03-01,363.4,
1991-04-01,363.6,
1991-05-01,362.3,
1991-06-01,356.3,
1991-07-01,352.3,
1991-08-01,351.2,
1991-09-01,351.4,
1991-10-01,356.5,
1991-11-01,359.0,
1991-12-01,361.2,
1992-01-01,361.9,
1992-02-01,363.2,
1992-03-01,363.3,
1992-04-01,364.7,
1992-05-01,364.2,
1992-06-01,355.8,
1992-07-01,348.7,
1992-08-01,351.4,
1992-09-01,351.8,
1992-10-01,357.1,
1992-11-01,359.6,
1992-12-01,361.8,
1993-01-01,361.8,
1993-02-01,363.2,
1993-03-01,364.0,
1993-04-01,365.0,
1993-05-01,364.0,
1993-06-01,358.9,
1993-07-01,352.5,
1993-08-01,351.5,
1993-09-01,352.3,
1993-10-01,358.3,
1993-11-01,360.0,
1993-12-01,362.1,
1994-01-01,364.1,
1994-02-01,364.0,
1994-03-01,365.4,
1994-04-01,367.4,
1994-05-01,365.8,
1994-06-01,358.8,
1994-07-01,356.5,
1994-08-01,356.5,
1994-09-01,355.8,
1994-10-01,359.8,
1994-11-01,363.8,
1994-12-01,364.9,
1995-01-01,366.1,
1995-02-01,366.2,
1995-03-01,366.7,
1995-04-01,367.6,
1995-05-01,366.7,
1995-06-01,363.0,
1995-07-01,361.6,
1995-08-01,354.7,
1995-09-01,357.5,
1995-10-01,363.5,
1995-11-01,365.6,
1995-12-01,366.7,
1996-01-01,367.6,
1996-02-01,368.8,1853.0
1996-03-01,369.5,1851.0
1996-04-01,369.6,1841.0
1996-05-01,369.5,1830.0
1996-06-01,364.7,1824.0
1996-07-01,361.1,1818.0
1996-08-01,356.5,1793.0
1996-09-01,357.7,1822.0
1996-10-01,363.8,1830.0
1996-11-01,366.4,1837.0
1996-12-01,368.1,1847.0
1997-01-01,368.3,1839.0
1997-02-01,369.8,1843.0
1997-03-01,370.8,1848.0
1997-04-01,371.4,1839.0
1997-05-01,369.7,1830.0
1997-06-01,365.5,1824.0
1997-07-01,363.4,1796.0
1997-08-01,355.6,1807.0
1997-09-01,359.9,1823.0
1997-10-01,366.7,1829.0
1997-11-01,367.9,1831.0
1997-12-01,369.1,1836.0
1998-01-01,370.4,1848.0
1998-02-01,371.3,1847.0
1998-03-01,372.4,1849.0
1998-04-01,373.6,1838.0
1998-05-01,371.7,1835.0
1998-06-01,368.8,1817.0
1998-07-01,364.8,1793.0
1998-08-01,362.6,1829.0
1998-09-01,363.9,1830.0
1998-10-01,369.4,1847.0
1998-11-01,372.3,1858.0
1998-12-01,373.1,1857.0
1999-01-01,374.2,1863.0
1999-02-01,375.0,1864.0
1999-03-01,375.3,1856.0
1999-04-01,375.5,1850.0
1999-05-01,375.5,1852.0
1999-06-01,367.2,1843.0
1999-07-01,368.3,1797.0
1999-08-01,365.1,1789.0
1999-09-01,363.9,1829.0
1999-10-01,369.7,1838.0
1999-11-01,372.9,1845.0
1999-12-01,373.7,1851.0
2000-01-01,373.9,1855.0
2000-02-01,375.7,1858.0
2000-03-01,376.8,1862.0
2000-04-01,378.0,1865.0
2000-05-01,375.4,1842.0
2000-06-01,369.5,1844.0
2000-07-01,369.8,1819.0
2000-08-01,364.9,1796.0
2000-09-01,367.3,1831.0
2000-10-01,371.5,1841.0
2000-11-01,374.4,1856.0
2000-12-01,376.2,1866.0
2001-01-01,376.4,1865.0
2001-02-01,377.9,1861.0
2001-03-01,379.0,1876.0
2001-04-01,379.0,1865.0
2001-05-01,377.1,1851.0
2001-06-01,370.5,1852.0
2001-07-01,366.6,1829.0
2001-08-01,363.7,1824.0
2001-09-01,367.7,1837.0
2001-10-01,372.2,1854.0
2001-11-01,375.7,1858.0
2001-12-01,376.7,1861.0
2002-01-01,378.3,1869.0
2002-02-01,380.3,1877.0
2002-03-01,380.5,1869.0
2002-04-01,380.8,1859.0
2002-05-01,378.2,1847.0
2002-06-01,371.6,1845.0
2002-07-01,371.8,1822.0
2002-08-01,368.7,1809.0
2002-09-01,369.3,1845.0
2002-10-01,376.1,1855.0
2002-11-01,377.8,1858.0
2002-12-01,379.0,1863.0
2003-01-01,380.4,1874.0
2003-02-01,381.6,1872.0
2003-03-01,382.5,1873.0
2003-04-01,384.4,1874.0
2003-05-01,383.0,1863.0
2003-06-01,377.5,1852.0
2003-07-01,372.1,1834.0
2003-08-01,370.1,1842.0
2003-09-01,372.8,1855.0
2003-10-01,378.4,1866.0
2003-11-01,380.4,1867.0
2003-12-01,382.4,1874.0
2004-01-01,382.9,1876.0
2004-02-01,385.0,1883.0
2004-03-01,385.2,1881.0
2004-04-01,385.7,1872.0
2004-05-01,385.4,1861.0
2004-06-01,378.6,1858.0
2004-07-01,374.6,1829.0
2004-08-01,370.2,1831.0
2004-09-01,373.9,1849.0
2004-10-01,378.3,1851.0
2004-11-01,382.2,1857.0
2004-12-01,383.5,1866.0
2005-01-01,384.9,1866.0
2005-02-01,385.0,1862.0
2005-03-01,387.0,1874.0
2005-04-01,388.1,1871.0
2005-05-01,386.5,1852.0
2005-06-01,381.5,1851.0
2005-07-01,374.7,1844.0
2005-08-01,375.2,1823.0
2005-09-01,377.0,1851.0
2005-10-01,380.7,1858.0
2005-11-01,384.6,1866.0
2005-12-01,385.9,1870.0
2006-01-01,387.4,1874.0
2006-02-01,388.4,1877.0
2006-03-01,389.3,1877.0
2006-04-01,390.2,1873.0
2006-05-01,390.2,1862.0
2006-06-01,384.7,1849.0
2006-07-01,377.6,1836.0
2006-08-01,378.7,1805.0
2006-09-01,378.9,1847.0
2006-10-01,384.0,1855.0
2006-11-01,387.1,1864.0
2006-12-01,388.4,1874.0
2007-01-01,388.9,1875.0
2007-02-01,390.5,1879.0
2007-03-01,391.4,1881.0
2007-04-01,391.3,1875.0
2007-05-01,390.2,1871.0
2007-06-01,385.5,1854.0
2007-07-01,378.0,1849.0
2007-08-01,378.9,1846.0
2007-09-01,381.7,1853.0
2007-10-01,384.7,1871.0
2007-11-01,388.8,1879.0
2007-12-01,390.0,1882.0
2008-01-01,390.9,1882.0
2008-02-01,392.3,1887.0
2008-03-01,394.0,1890.0
2008-04-01,394.4,1884.0
2008-05-01,391.9,1873.0
2008-06-01,388.1,1865.0
2008-07-01,381.0,1858.0
2008-08-01,377.6,1847.0
2008-09-01,382.3,1863.0
2008-10-01,387.4,1878.0
2008-11-01,390.1,1886.0
2008-12-01,392.2,1892.0
2009-01-01,392.5,1889.0
2009-02-01,393.8,1894.0
2009-03-01,394.2,1893.0
2009-04-01,395.5,1887.0
2009-05-01,393.2,1874.0
2009-06-01,388.2,1870.0
2009-07-01,384.9,1857.0
2009-08-01,379.7,1854.0
2009-09-01,382.2,1871.0
2009-10-01,388.9,1879.0
2009-11-01,391.4,1880.0
2009-12-01,393.3,1891.0
2010-01-01,394.2,1891.0
2010-02-01,395.6,1895.0
2010-03-01,396.7,1903.0
2010-04-01,396.9,1894.0
2010-05-01,397.7,1883.0
2010-06-01,390.8,1874.0
2010-07-01,392.5,1840.0
2010-08-01,386.8,1855.0
2010-09-01,387.6,1872.0
2010-10-01,392.1,1881.0
